Respondent_Serial,WAVE,resp_gender,resp_age,REGION,LIV,MRK_STATE1,QPID1,QPID_I,QPID_D,QPID_R,GRID_GTS1_1_GTS1,GRID_GTS1_2_GTS1,GRID_GTS1_3_GTS1,GRID_GTS1_4_GTS1,GRID_GTS1_5_GTS1,GRID_GTS2_1_GTS2,GRID_GTS2_2_GTS2,GRID_GTS2_3_GTS2,GRID_GTS2_4_GTS2,GRID_GTS2_5_GTS2,GRID_GTS3_1_GTS3,GRID_GTS3_3_GTS3,GRID_GTS3_4_GTS3,GRID_GTS3_5_GTS3,GRID_GTS3_6_GTS3,GRID_GTS3_7_GTS3,GRID_GTS3_8_GTS3,USHHI2,USEDU3,USHOU1,USMAR2,EMP01_der,KIDS02,USRETH3,USRACE41,USRACE42,USRACE43,USRACE44,USRACE45,USRACE46,USRACE47,USRACE48,Weight
9,1,1,20,1,3,25,5,1,,,70,60,50,30,50,90,80,80,60,80,1,1,1,1,1,1,1,12,8,4,1,5,0,2,0,0,0,1,0,0,0,0,0.455381
10,1,1,44,3,2,21,1,,1,,62,60,60,50,60,30,30,30,30,30,4,3,5,1,1,1,1,19,10,1,3,1,0,2,1,0,0,0,0,0,0,0,0.742065
13,1,2,24,2,1,31,3,2,,,25,25,25,25,25,0,25,25,25,0,2,3,2,1,2,1,1,17,9,1,2,1,0,2,1,0,0,0,0,0,0,0,0.963536
14,1,1,32,1,2,34,3,2,,,50,45,45,50,55,55,55,10,35,45,3,2,1,1,5,3,2,15,10,4,1,1,0,2,1,0,0,0,0,0,0,0,0.288382
15,1,2,19,2,3,31,1,,2,,50,25,50,50,100,50,50,50,50,100,3,2,1,2,3,2,1,1,5,3,1,2,0,2,0,1,0,0,0,0,0,0,1.367478
16,1,2,18,4,1,53,4,2,,,60,40,60,70,50,65,70,65,80,75,1,1,2,1,1,1,1,7,7,3,1,1,0,3,0,0,0,0,0,0,1,0,0.571213
19,1,2,74,2,2,20,2,,,1,25,25,50,15,15,10,15,15,10,10,1,1,5,1,5,2,1,17,7,1,3,4,0,2,1,0,0,0,0,0,0,0,0.866155
20,1,2,59,4,2,6,1,,1,,75,80,80,80,60,80,80,80,80,80,4,4,5,5,1,1,5,10,10,3,1,8,0,2,1,0,0,0,0,0,0,0,0.736622
22,1,1,67,3,2,12,1,,2,,50,35,50,50,40,50,40,60,50,50,1,1,5,5,5,1,1,5,9,3,4,1,0,2,1,0,0,0,0,0,0,0,0.965825
23,1,1,66,2,1,27,2,,,1,0,0,35,0,0,0,0,25,0,0,1,1,1,1,4,5,1,11,8,1,3,4,0,2,1,0,0,0,0,0,0,0,0.350989
25,1,2,41,2,2,46,1,,2,,20,15,25,15,20,50,55,50,40,50,3,1,4,1,4,1,1,19,10,1,5,1,2,2,1,0,0,0,0,0,0,0,0.525559
26,1,1,23,3,2,51,3,1,,,70,50,60,60,47,75,54,68,63,52,4,5,3,2,1,1,1,20,10,1,2,1,0,2,1,0,0,0,0,0,0,0,0.46941
27,1,2,46,3,1,28,1,,2,,10,25,15,30,25,15,20,15,35,30,1,4,5,1,2,2,2,12,9,1,3,7,1,2,0,1,0,0,0,0,0,0,0.642364
28,1,2,21,1,3,34,1,,2,,30,0,2,2,10,35,10,10,10,10,2,4,3,4,1,1,1,11,10,4,1,5,0,1,1,0,0,0,0,0,0,0,0.70542
31,1,2,30,3,1,48,2,,,2,75,55,75,65,60,65,45,35,55,55,1,1,1,1,1,1,1,19,10,3,3,7,0,2,1,0,0,0,0,0,0,0,1.503087
32,1,2,21,4,2,41,5,2,,,25,14,3,52,75,10,23,36,52,15,5,3,4,5,4,3,3,9,12,2,2,8,3,1,1,0,0,1,0,0,0,0,0.404922
33,1,1,59,4,3,15,1,,2,,80,75,80,90,90,80,75,90,90,90,5,3,5,3,3,1,3,15,10,3,3,4,0,2,0,0,0,0,1,0,0,0,0.326949
35,1,2,23,2,1,46,3,2,,,70,70,70,50,60,50,50,70,50,50,2,2,3,1,1,1,1,4,11,3,1,1,0,2,1,0,0,0,0,0,0,0,0.180262
36,1,2,38,1,1,34,3,2,,,20,35,60,42,75,20,25,5,25,25,2,1,5,1,1,1,1,18,9,1,3,1,2,2,0,0,0,0,1,0,0,0,1.573419
37,1,2,56,2,1,26,4,3,,,50,20,20,20,20,20,20,20,20,20,1,1,4,1,1,1,1,11,8,1,3,8,0,3,0,0,0,0,0,0,1,0,0.575235
40,1,1,70,4,2,6,3,3,,,50,80,70,70,70,50,60,50,70,70,4,4,4,4,4,1,1,11,8,3,5,1,0,2,1,0,0,0,0,0,0,0,1.477257
42,1,2,21,1,2,42,2,,,1,80,60,90,90,90,70,60,80,80,80,3,2,5,1,2,1,1,22,8,4,1,5,1,2,1,0,0,0,0,0,0,0,1.294924
43,1,2,32,3,2,51,3,2,,,70,50,50,80,70,70,50,50,50,70,1,2,2,2,1,1,1,19,10,3,3,1,0,2,0,1,0,0,0,0,0,0,0.779056
44,1,1,49,2,3,26,1,,2,,10,20,20,40,10,10,20,20,20,10,3,2,5,1,4,1,1,10,5,1,1,1,0,2,0,1,0,0,0,0,0,0,2.087053
46,1,2,69,4,1,35,2,,,1,0,0,50,0,0,50,50,50,50,50,1,1,1,1,3,1,1,20,10,1,3,7,0,2,1,0,0,0,0,0,0,0,0.542918
47,1,2,27,4,3,6,1,,2,,65,55,80,75,50,65,65,85,75,50,1,2,1,3,1,1,1,3,8,4,1,1,0,1,1,0,0,0,0,0,0,0,4.96283
49,1,2,27,1,3,42,1,,2,,60,45,30,30,25,25,15,15,10,10,3,4,4,1,1,1,1,2,9,3,1,8,0,2,1,0,0,0,0,0,0,0,0.441649
50,1,2,55,4,2,6,2,,,2,50,10,10,5,1,30,10,10,10,3,1,1,3,3,3,1,1,20,12,1,3,1,0,2,1,0,0,0,0,0,0,0,2.159789
